CaseID,Activity,EnableTimestamp,StartTimestamp,EndTimestamp,Resource
2,Amend Request for Quotation,,2011-01-01 12:33:00-05:00,2011-01-01 12:39:00-05:00,Esmana Liubiata
2,Analyze Request for Quotation,,2011-01-01 13:28:00-05:00,2011-01-01 13:38:00-05:00,Karel de Groot
2,Send Request for Quotation to Supplier,,2011-01-01 15:18:00-05:00,2011-01-01 15:40:00-05:00,Francois de Perrier
2,Create Quotation comparison Map,,2011-01-01 15:55:00-05:00,2011-01-01 16:43:00-05:00,Karel de Groot
2,Analyze Quotation Comparison Map,,2011-01-01 23:33:00-05:00,2011-01-01 23:44:00-05:00,Esmana Liubiata
2,Choose best option,,2011-01-01 23:44:00-05:00,2011-01-01 23:44:00-05:00,Fjodor Kowalski
2,Settle Conditions With Supplier,,2011-01-02 02:15:00-05:00,2011-01-02 15:07:00-05:00,Magdalena Predutta
2,Create Purchase Order,,2011-01-02 16:21:00-05:00,2011-01-02 16:31:00-05:00,Magdalena Predutta
2,Confirm Purchase Order,,2011-01-02 20:23:00-05:00,2011-01-02 20:29:00-05:00,Esmeralda Clay
2,Deliver Goods Services,,2011-01-03 03:15:00-05:00,2011-01-04 14:53:00-05:00,Esmeralda Clay
2,Release Purchase Order,,2011-01-04 23:01:00-05:00,2011-01-04 23:02:00-05:00,Elvira Lores
2,Approve Purchase Order for payment,,2011-01-05 09:03:00-05:00,2011-01-05 09:04:00-05:00,Karel de Groot
2,Send Invoice,,2011-01-05 14:50:00-05:00,2011-01-05 14:50:00-05:00,Esmeralda Clay
2,Release Supplier's Invoice,,2011-01-06 05:04:00-05:00,2011-01-06 05:07:00-05:00,Pedro Alvares
2,Settle Dispute With Supplier,,2011-01-06 05:38:00-05:00,2011-01-06 05:58:00-05:00,Karalda Nimwada
2,Authorize Supplier's Invoice payment,,2011-01-06 05:58:00-05:00,2011-01-06 05:58:00-05:00,Pedro Alvares
2,Pay Invoice,,2011-01-06 06:21:00-05:00,2011-01-06 06:32:00-05:00,Karalda Nimwada
3,Create Purchase Requisition,,2011-01-01 02:23:00-05:00,2011-01-01 03:03:00-05:00,Kim Passa
3,Analyze Purchase Requisition,,2011-01-02 01:50:00-05:00,2011-01-02 01:58:00-05:00,Heinz Gutschmidt
3,Create Request for Quotation,,2011-01-02 02:01:00-05:00,2011-01-02 02:03:00-05:00,Francis Odell
3,Analyze Request for Quotation,,2011-01-02 03:27:00-05:00,2011-01-02 03:48:00-05:00,Karel de Groot
3,Send Request for Quotation to Supplier,,2011-01-02 15:29:00-05:00,2011-01-02 15:55:00-05:00,Magdalena Predutta
3,Create Quotation comparison Map,,2011-01-02 16:00:00-05:00,2011-01-02 21:00:00-05:00,Francois de Perrier
3,Analyze Quotation Comparison Map,,2011-01-03 03:18:00-05:00,2011-01-03 03:47:00-05:00,Clement Duchot
3,Choose best option,,2011-01-03 03:47:00-05:00,2011-01-03 03:47:00-05:00,Christian Francois
3,Settle Conditions With Supplier,,2011-01-03 14:14:00-05:00,2011-01-03 22:16:00-05:00,Francois de Perrier
3,Create Purchase Order,,2011-01-03 23:51:00-05:00,2011-01-03 23:59:00-05:00,Francois de Perrier
3,Confirm Purchase Order,,2011-01-04 03:47:00-05:00,2011-01-04 04:10:00-05:00,Karen Clarens
3,Deliver Goods Services,,2011-01-04 14:53:00-05:00,2011-01-05 14:20:00-05:00,Esmeralda Clay
3,Release Purchase Order,,2011-01-05 21:54:00-05:00,2011-01-05 21:55:00-05:00,Elvira Lores
3,Approve Purchase Order for payment,,2011-01-06 13:46:00-05:00,2011-01-06 13:47:00-05:00,Francois de Perrier
3,Send Invoice,,2011-01-07 01:33:00-05:00,2011-01-07 01:33:00-05:00,Kiu Kan
3,Release Supplier's Invoice,,2011-01-07 15:51:00-05:00,2011-01-07 15:55:00-05:00,Karalda Nimwada
3,Authorize Supplier's Invoice payment,,2011-01-07 15:55:00-05:00,2011-01-07 15:55:00-05:00,Karalda Nimwada
3,Pay Invoice,,2011-01-07 16:24:00-05:00,2011-01-07 16:31:00-05:00,Karalda Nimwada
4,Create Purchase Requisition,,2011-01-01 08:39:00-05:00,2011-01-01 09:00:00-05:00,Fjodor Kowalski
4,Analyze Purchase Requisition,,2011-01-01 18:45:00-05:00,2011-01-01 18:51:00-05:00,Maris Freeman
4,Create Request for Quotation,,2011-01-01 18:56:00-05:00,2011-01-01 18:58:00-05:00,Heinz Gutschmidt
4,Analyze Request for Quotation,,2011-01-01 19:58:00-05:00,2011-01-01 20:19:00-05:00,Francois de Perrier
4,Amend Request for Quotation,,2011-01-01 21:06:00-05:00,2011-01-01 21:14:00-05:00,Nico Ojenbeer
4,Analyze Request for Quotation,,2011-01-01 22:01:00-05:00,2011-01-01 22:24:00-05:00,Francois de Perrier
4,Send Request for Quotation to Supplier,,2011-01-02 02:42:00-05:00,2011-01-02 03:01:00-05:00,Karel de Groot
4,Create Quotation comparison Map,,2011-01-02 03:48:00-05:00,2011-01-02 09:08:00-05:00,Karel de Groot
4,Analyze Quotation Comparison Map,,2011-01-02 15:59:00-05:00,2011-01-02 16:13:00-05:00,Elvira Lores
4,Choose best option,,2011-01-02 16:13:00-05:00,2011-01-02 16:13:00-05:00,Kim Passa
4,Settle Conditions With Supplier,,2011-01-02 19:13:00-05:00,2011-01-03 07:45:00-05:00,Magdalena Predutta
4,Create Purchase Order,,2011-01-03 12:08:00-05:00,2011-01-03 12:17:00-05:00,Magdalena Predutta
4,Confirm Purchase Order,,2011-01-03 16:13:00-05:00,2011-01-03 16:38:00-05:00,Carmen Finacse
4,Deliver Goods Services,,2011-01-03 23:05:00-05:00,2011-01-05 02:30:00-05:00,Carmen Finacse
4,Release Purchase Order,,2011-01-05 09:57:00-05:00,2011-01-05 09:58:00-05:00,Miu Hanwan
4,Approve Purchase Order for payment,,2011-01-06 00:29:00-05:00,2011-01-06 00:30:00-05:00,Magdalena Predutta
4,Send Invoice,,2011-01-06 06:13:00-05:00,2011-01-06 06:13:00-05:00,Esmeralda Clay
4,Authorize Supplier's Invoice payment,,2011-01-06 20:39:00-05:00,2011-01-06 20:39:00-05:00,Pedro Alvares
4,Pay Invoice,,2011-01-06 21:25:00-05:00,2011-01-06 21:32:00-05:00,Karalda Nimwada
5,Create Purchase Requisition,,2011-01-01 09:49:00-05:00,2011-01-01 10:35:00-05:00,Esmana Liubiata
5,Analyze Purchase Requisition,,2011-01-02 01:50:00-05:00,2011-01-02 01:57:00-05:00,Maris Freeman
5,Create Request for Quotation,,2011-01-02 02:05:00-05:00,2011-01-02 02:06:00-05:00,Maris Freeman
5,Analyze Request for Quotation,,2011-01-02 03:02:00-05:00,2011-01-02 03:27:00-05:00,Karel de Groot
5,Amend Request for Quotation,,2011-01-02 04:21:00-05:00,2011-01-02 04:33:00-05:00,Anne Olwada
5,Analyze Request for Quotation,,2011-01-02 09:08:00-05:00,2011-01-02 09:42:00-05:00,Karel de Groot
5,Send Request for Quotation to Supplier,,2011-01-02 18:49:00-05:00,2011-01-02 19:21:00-05:00,Karel de Groot
5,Create Quotation comparison Map,,2011-01-02 19:36:00-05:00,2011-01-02 20:14:00-05:00,Karel de Groot
5,Analyze Quotation Comparison Map,,2011-01-03 03:18:00-05:00,2011-01-03 03:30:00-05:00,Anne Olwada
5,Choose best option,,2011-01-03 03:30:00-05:00,2011-01-03 03:30:00-05:00,Nico Ojenbeer
5,Settle Conditions With Supplier,,2011-01-03 13:18:00-05:00,2011-01-03 19:12:00-05:00,Magdalena Predutta
5,Create Purchase Order,,2011-01-03 21:01:00-05:00,2011-01-03 21:09:00-05:00,Karel de Groot
5,Confirm Purchase Order,,2011-01-04 01:02:00-05:00,2011-01-04 01:24:00-05:00,Karen Clarens
5,Deliver Goods Services,,2011-01-04 09:08:00-05:00,2011-01-05 04:37:00-05:00,Kiu Kan
5,Release Purchase Order,,2011-01-05 12:13:00-05:00,2011-01-05 12:14:00-05:00,Anna Kaufmann
5,Approve Purchase Order for payment,,2011-01-06 02:41:00-05:00,2011-01-06 02:42:00-05:00,Francois de Perrier
5,Send Invoice,,2011-01-06 08:23:00-05:00,2011-01-06 08:23:00-05:00,Esmeralda Clay
5,Authorize Supplier's Invoice payment,,2011-01-06 22:47:00-05:00,2011-01-06 22:47:00-05:00,Karalda Nimwada
5,Pay Invoice,,2011-01-06 22:55:00-05:00,2011-01-06 23:04:00-05:00,Karalda Nimwada
6,Create Purchase Requisition,,2011-01-01 11:20:00-05:00,2011-01-01 11:37:00-05:00,Christian Francois
6,Create Request for Quotation,,2011-01-01 17:32:00-05:00,2011-01-01 17:45:00-05:00,Alberto Duport
6,Analyze Request for Quotation,,2011-01-01 18:39:00-05:00,2011-01-01 18:55:00-05:00,Magdalena Predutta
6,Amend Request for Quotation,,2011-01-01 19:47:00-05:00,2011-01-01 19:55:00-05:00,Penn Osterwalder
6,Analyze Request for Quotation,,2011-01-01 20:55:00-05:00,2011-01-01 21:28:00-05:00,Francois de Perrier
6,Amend Request for Quotation,,2011-01-01 22:13:00-05:00,2011-01-01 22:28:00-05:00,Anne Olwada
6,Analyze Request for Quotation,,2011-01-01 23:24:00-05:00,2011-01-01 23:48:00-05:00,Karel de Groot
6,Send Request for Quotation to Supplier,,2011-01-02 09:51:00-05:00,2011-01-02 10:22:00-05:00,Francois de Perrier
6,Create Quotation comparison Map,,2011-01-02 10:27:00-05:00,2011-01-02 15:32:00-05:00,Francois de Perrier
6,Analyze Quotation Comparison Map,,2011-01-02 21:44:00-05:00,2011-01-02 22:01:00-05:00,Penn Osterwalder
6,Choose best option,,2011-01-02 22:01:00-05:00,2011-01-02 22:01:00-05:00,Tesca Lobes
6,Settle Conditions With Supplier,,2011-01-03 00:25:00-05:00,2011-01-03 13:16:00-05:00,Francois de Perrier
6,Create Purchase Order,,2011-01-03 14:57:00-05:00,2011-01-03 15:07:00-05:00,Karel de Groot
6,Confirm Purchase Order,,2011-01-03 18:55:00-05:00,2011-01-03 19:16:00-05:00,Karen Clarens
6,Deliver Goods Services,,2011-01-04 05:08:00-05:00,2011-01-05 03:16:00-05:00,Karen Clarens
6,Release Purchase Order,,2011-01-05 10:27:00-05:00,2011-01-05 10:28:00-05:00,Nico Ojenbeer
6,Approve Purchase Order for payment,,2011-01-05 17:09:00-05:00,2011-01-05 17:10:00-05:00,Karel de Groot
6,Send Invoice,,2011-01-05 22:56:00-05:00,2011-01-05 22:56:00-05:00,Esmeralda Clay
6,Release Supplier's Invoice,,2011-01-06 13:12:00-05:00,2011-01-06 13:19:00-05:00,Karalda Nimwada
6,Authorize Supplier's Invoice payment,,2011-01-06 13:19:00-05:00,2011-01-06 13:19:00-05:00,Karalda Nimwada
6,Pay Invoice,,2011-01-06 13:43:00-05:00,2011-01-06 13:50:00-05:00,Karalda Nimwada
7,Create Purchase Requisition,,2011-01-01 14:05:00-05:00,2011-01-01 15:00:00-05:00,Esmana Liubiata
7,Analyze Purchase Requisition,,2011-01-02 13:33:00-05:00,2011-01-02 13:38:00-05:00,Maris Freeman
7,Create Request for Quotation,,2011-01-02 13:41:00-05:00,2011-01-02 13:42:00-05:00,Maris Freeman
7,Analyze Request for Quotation,,2011-01-02 15:07:00-05:00,2011-01-02 15:29:00-05:00,Magdalena Predutta
7,Amend Request for Quotation,,2011-01-02 16:21:00-05:00,2011-01-02 16:28:00-05:00,Esmana Liubiata
7,Analyze Request for Quotation,,2011-01-02 17:22:00-05:00,2011-01-02 17:47:00-05:00,Karel de Groot
7,Amend Request for Quotation,,2011-01-02 18:36:00-05:00,2011-01-02 18:50:00-05:00,Nico Ojenbeer
7,Analyze Request for Quotation,,2011-01-02 20:14:00-05:00,2011-01-02 20:28:00-05:00,Karel de Groot
7,Send Request for Quotation to Supplier,,2011-01-03 00:17:00-05:00,2011-01-03 00:40:00-05:00,Karel de Groot
7,Create Quotation comparison Map,,2011-01-03 08:00:00-05:00,2011-01-03 12:08:00-05:00,Magdalena Predutta
7,Analyze Quotation Comparison Map,,2011-01-03 19:19:00-05:00,2011-01-03 19:35:00-05:00,Miu Hanwan
7,Choose best option,,2011-01-03 19:35:00-05:00,2011-01-03 19:35:00-05:00,Immanuel Karagianni
7,Settle Conditions With Supplier,,2011-01-03 22:52:00-05:00,2011-01-04 13:08:00-05:00,Magdalena Predutta
7,Create Purchase Order,,2011-01-04 17:10:00-05:00,2011-01-04 17:18:00-05:00,Karel de Groot
7,Confirm Purchase Order,,2011-01-05 02:37:00-05:00,2011-01-05 02:44:00-05:00,Carmen Finacse
7,Deliver Goods Services,,2011-01-05 09:12:00-05:00,2011-01-05 19:17:00-05:00,Karen Clarens
7,Release Purchase Order,,2011-01-06 02:34:00-05:00,2011-01-06 02:35:00-05:00,Clement Duchot
7,Approve Purchase Order for payment,,2011-01-06 10:43:00-05:00,2011-01-06 10:44:00-05:00,Magdalena Predutta
7,Send Invoice,,2011-01-06 19:11:00-05:00,2011-01-06 19:11:00-05:00,Karen Clarens
7,Release Supplier's Invoice,,2011-01-07 09:22:00-05:00,2011-01-07 09:27:00-05:00,Karalda Nimwada
7,Authorize Supplier's Invoice payment,,2011-01-07 09:27:00-05:00,2011-01-07 09:27:00-05:00,Karalda Nimwada
7,Pay Invoice,,2011-01-07 09:41:00-05:00,2011-01-07 09:53:00-05:00,Karalda Nimwada
8,Create Purchase Requisition,,2011-01-01 14:27:00-05:00,2011-01-01 15:17:00-05:00,Fjodor Kowalski
8,Create Request for Quotation,,2011-01-01 18:00:00-05:00,2011-01-01 18:07:00-05:00,Tesca Lobes
8,Analyze Request for Quotation,,2011-01-01 19:04:00-05:00,2011-01-01 19:27:00-05:00,Francois de Perrier
8,Amend Request for Quotation,,2011-01-01 20:21:00-05:00,2011-01-01 20:34:00-05:00,Tesca Lobes
8,Analyze Request for Quotation,,2011-01-01 21:35:00-05:00,2011-01-01 22:01:00-05:00,Magdalena Predutta
8,Send Request for Quotation to Supplier,,2011-01-02 09:20:00-05:00,2011-01-02 09:48:00-05:00,Francois de Perrier
8,Create Quotation comparison Map,,2011-01-02 10:10:00-05:00,2011-01-02 15:33:00-05:00,Karel de Groot
8,Analyze Quotation Comparison Map,,2011-01-02 22:08:00-05:00,2011-01-02 22:14:00-05:00,Anne Olwada
8,Choose best option,,2011-01-02 22:14:00-05:00,2011-01-02 22:14:00-05:00,Immanuel Karagianni
8,Settle Conditions With Supplier,,2011-01-03 00:40:00-05:00,2011-01-03 12:50:00-05:00,Karel de Groot
8,Create Purchase Order,,2011-01-03 15:07:00-05:00,2011-01-03 15:19:00-05:00,Karel de Groot
8,Confirm Purchase Order,,2011-01-03 19:06:00-05:00,2011-01-03 19:31:00-05:00,Sean Manney
8,Deliver Goods Services,,2011-01-04 05:00:00-05:00,2011-01-05 10:34:00-05:00,Sean Manney
8,Release Purchase Order,,2011-01-05 18:11:00-05:00,2011-01-05 18:12:00-05:00,Esmana Liubiata
8,Approve Purchase Order for payment,,2011-01-06 13:47:00-05:00,2011-01-06 13:48:00-05:00,Francois de Perrier
8,Send Invoice,,2011-01-07 01:19:00-05:00,2011-01-07 01:19:00-05:00,Kiu Kan
8,Release Supplier's Invoice,,2011-01-07 15:41:00-05:00,2011-01-07 15:48:00-05:00,Pedro Alvares
8,Authorize Supplier's Invoice payment,,2011-01-07 15:48:00-05:00,2011-01-07 15:48:00-05:00,Karalda Nimwada
8,Pay Invoice,,2011-01-07 15:53:00-05:00,2011-01-07 16:04:00-05:00,Pedro Alvares
9,Create Purchase Requisition,,2011-01-01 16:17:00-05:00,2011-01-01 16:34:00-05:00,Tesca Lobes
9,Create Request for Quotation,,2011-01-01 22:38:00-05:00,2011-01-01 22:48:00-05:00,Penn Osterwalder
9,Analyze Request for Quotation,,2011-01-01 23:49:00-05:00,2011-01-02 00:12:00-05:00,Karel de Groot
9,Amend Request for Quotation,,2011-01-02 16:04:00-05:00,2011-01-02 16:30:00-05:00,Heinz Gutschmidt
9,Analyze Request for Quotation,,2011-01-02 17:27:00-05:00,2011-01-02 17:51:00-05:00,Magdalena Predutta
9,Amend Request for Quotation,,2011-01-02 18:46:00-05:00,2011-01-02 18:57:00-05:00,Fjodor Kowalski
9,Analyze Request for Quotation,,2011-01-02 20:28:00-05:00,2011-01-02 20:45:00-05:00,Karel de Groot
9,Amend Request for Quotation,,2011-01-02 21:43:00-05:00,2011-01-02 21:49:00-05:00,Elvira Lores
9,Analyze Request for Quotation,,2011-01-02 22:54:00-05:00,2011-01-02 23:26:00-05:00,Francois de Perrier
9,Amend Request for Quotation,,2011-01-03 00:14:00-05:00,2011-01-03 00:25:00-05:00,Esmana Liubiata
9,Analyze Request for Quotation,,2011-01-03 07:45:00-05:00,2011-01-03 08:00:00-05:00,Magdalena Predutta
9,Amend Request for Quotation,,2011-01-04 00:04:00-05:00,2011-01-04 00:25:00-05:00,Heinz Gutschmidt
9,Analyze Request for Quotation,,2011-01-04 02:02:00-05:00,2011-01-04 02:23:00-05:00,Francois de Perrier
9,Amend Request for Quotation,,2011-01-04 03:12:00-05:00,2011-01-04 03:22:00-05:00,Anna Kaufmann
9,Analyze Request for Quotation,,2011-01-04 05:51:00-05:00,2011-01-04 05:56:00-05:00,Karel de Groot
10,Create Purchase Requisition,,2011-01-02 02:52:00-05:00,2011-01-02 03:43:00-05:00,Esmana Liubiata
10,Create Request for Quotation,,2011-01-02 10:25:00-05:00,2011-01-02 10:32:00-05:00,Immanuel Karagianni
10,Analyze Request for Quotation,,2011-01-02 15:32:00-05:00,2011-01-02 15:59:00-05:00,Francois de Perrier
10,Send Request for Quotation to Supplier,,2011-01-03 12:50:00-05:00,2011-01-03 13:07:00-05:00,Karel de Groot
10,Create Quotation comparison Map,,2011-01-03 13:31:00-05:00,2011-01-03 14:28:00-05:00,Karel de Groot
10,Analyze Quotation Comparison Map,,2011-01-03 21:44:00-05:00,2011-01-03 22:05:00-05:00,Anna Kaufmann
10,Choose best option,,2011-01-03 22:05:00-05:00,2011-01-03 22:05:00-05:00,Nico Ojenbeer
10,Settle Conditions With Supplier,,2011-01-03 23:53:00-05:00,2011-01-04 04:31:00-05:00,Karel de Groot
10,Create Purchase Order,,2011-01-04 09:44:00-05:00,2011-01-04 09:52:00-05:00,Karel de Groot
10,Confirm Purchase Order,,2011-01-05 02:49:00-05:00,2011-01-05 02:58:00-05:00,Carmen Finacse
10,Deliver Goods Services,,2011-01-05 11:48:00-05:00,2011-01-07 01:19:00-05:00,Kiu Kan
10,Release Purchase Order,,2011-01-07 08:54:00-05:00,2011-01-07 08:55:00-05:00,Tesca Lobes
10,Approve Purchase Order for payment,,2011-01-09 02:55:00-05:00,2011-01-09 02:56:00-05:00,Karel de Groot
10,Send Invoice,,2011-01-10 00:23:00-05:00,2011-01-10 00:23:00-05:00,Karen Clarens
10,Release Supplier's Invoice,,2011-01-10 14:45:00-05:00,2011-01-10 14:48:00-05:00,Karalda Nimwada
10,Settle Dispute With Supplier,,2011-01-10 15:09:00-05:00,2011-01-10 15:34:00-05:00,Karalda Nimwada
10,Authorize Supplier's Invoice payment,,2011-01-10 15:43:00-05:00,2011-01-10 15:43:00-05:00,Karalda Nimwada
10,Pay Invoice,,2011-01-10 16:03:00-05:00,2011-01-10 16:16:00-05:00,Pedro Alvares
11,Create Purchase Requisition,,2011-01-02 05:12:00-05:00,2011-01-02 05:53:00-05:00,Miu Hanwan
11,Analyze Purchase Requisition,,2011-01-03 00:06:00-05:00,2011-01-03 00:12:00-05:00,Francis Odell
11,Create Request for Quotation,,2011-01-03 00:20:00-05:00,2011-01-03 00:22:00-05:00,Francis Odell
11,Analyze Request for Quotation,,2011-01-03 13:07:00-05:00,2011-01-03 13:31:00-05:00,Karel de Groot
11,Amend Request for Quotation,,2011-01-03 14:21:00-05:00,2011-01-03 14:31:00-05:00,Nico Ojenbeer
11,Analyze Request for Quotation,,2011-01-03 19:24:00-05:00,2011-01-03 19:57:00-05:00,Karel de Groot
12,Create Purchase Requisition,,2011-01-02 05:31:00-05:00,2011-01-02 05:41:00-05:00,Alberto Duport
12,Analyze Purchase Requisition,,2011-01-02 23:35:00-05:00,2011-01-02 23:41:00-05:00,Francis Odell
12,Amend Purchase Requisition,,2011-01-03 11:31:00-05:00,2011-01-03 11:57:00-05:00,Penn Osterwalder
12,Create Request for Quotation,,2011-01-03 17:18:00-05:00,2011-01-03 17:28:00-05:00,Tesca Lobes
12,Analyze Request for Quotation,,2011-01-03 18:32:00-05:00,2011-01-03 18:36:00-05:00,Karel de Groot
12,Amend Request for Quotation,,2011-01-03 19:22:00-05:00,2011-01-03 19:27:00-05:00,Penn Osterwalder
12,Analyze Request for Quotation,,2011-01-03 20:24:00-05:00,2011-01-03 20:46:00-05:00,Karel de Groot
12,Amend Request for Quotation,,2011-01-03 21:35:00-05:00,2011-01-03 21:40:00-05:00,Penn Osterwalder
12,Analyze Request for Quotation,,2011-01-03 22:41:00-05:00,2011-01-03 22:52:00-05:00,Magdalena Predutta
12,Amend Request for Quotation,,2011-01-03 23:40:00-05:00,2011-01-03 23:54:00-05:00,Penn Osterwalder
12,Analyze Request for Quotation,,2011-01-04 00:45:00-05:00,2011-01-04 01:35:00-05:00,Francois de Perrier
12,Send Request for Quotation to Supplier,,2011-01-04 18:40:00-05:00,2011-01-04 19:03:00-05:00,Magdalena Predutta
12,Create Quotation comparison Map,,2011-01-04 19:42:00-05:00,2011-01-05 00:34:00-05:00,Magdalena Predutta
12,Analyze Quotation Comparison Map,,2011-01-05 07:34:00-05:00,2011-01-05 07:41:00-05:00,Esmana Liubiata
12,Choose best option,,2011-01-05 07:41:00-05:00,2011-01-05 07:41:00-05:00,Immanuel Karagianni
12,Settle Conditions With Supplier,,2011-01-06 00:30:00-05:00,2011-01-06 05:00:00-05:00,Magdalena Predutta
12,Create Purchase Order,,2011-01-06 13:20:00-05:00,2011-01-06 13:27:00-05:00,Francois de Perrier
12,Confirm Purchase Order,,2011-01-07 01:33:00-05:00,2011-01-07 01:39:00-05:00,Kiu Kan
12,Deliver Goods Services,,2011-01-07 07:08:00-05:00,2011-01-08 13:08:00-05:00,Sean Manney
12,Release Purchase Order,,2011-01-08 20:16:00-05:00,2011-01-08 20:17:00-05:00,Christian Francois
12,Approve Purchase Order for payment,,2011-01-08 22:48:00-05:00,2011-01-08 22:49:00-05:00,Magdalena Predutta
12,Send Invoice,,2011-01-10 01:16:00-05:00,2011-01-10 01:16:00-05:00,Karen Clarens
12,Release Supplier's Invoice,,2011-01-10 15:41:00-05:00,2011-01-10 15:46:00-05:00,Pedro Alvares
12,Authorize Supplier's Invoice payment,,2011-01-10 15:46:00-05:00,2011-01-10 15:46:00-05:00,Karalda Nimwada
12,Pay Invoice,,2011-01-10 15:53:00-05:00,2011-01-10 16:02:00-05:00,Pedro Alvares
13,Create Purchase Requisition,,2011-01-02 07:47:00-05:00,2011-01-02 08:06:00-05:00,Anna Kaufmann
13,Create Request for Quotation,,2011-01-02 11:39:00-05:00,2011-01-02 11:48:00-05:00,Anna Kaufmann
13,Analyze Request for Quotation,,2011-01-02 15:33:00-05:00,2011-01-02 16:15:00-05:00,Karel de Groot
13,Amend Request for Quotation,,2011-01-02 17:04:00-05:00,2011-01-02 17:18:00-05:00,Anne Olwada
13,Analyze Request for Quotation,,2011-01-02 18:29:00-05:00,2011-01-02 19:01:00-05:00,Magdalena Predutta
13,Amend Request for Quotation,,2011-01-02 19:51:00-05:00,2011-01-02 19:57:00-05:00,Christian Francois
13,Analyze Request for Quotation,,2011-01-02 21:04:00-05:00,2011-01-02 21:35:00-05:00,Francois de Perrier
13,Amend Request for Quotation,,2011-01-02 22:23:00-05:00,2011-01-02 22:32:00-05:00,Anne Olwada
13,Analyze Request for Quotation,,2011-01-02 23:27:00-05:00,2011-01-02 23:46:00-05:00,Francois de Perrier
13,Send Request for Quotation to Supplier,,2011-01-03 15:19:00-05:00,2011-01-03 15:54:00-05:00,Karel de Groot
13,Create Quotation comparison Map,,2011-01-03 16:28:00-05:00,2011-01-03 18:32:00-05:00,Karel de Groot
13,Analyze Quotation Comparison Map,,2011-01-04 01:42:00-05:00,2011-01-04 02:00:00-05:00,Clement Duchot
13,Choose best option,,2011-01-04 02:00:00-05:00,2011-01-04 02:00:00-05:00,Nico Ojenbeer
13,Settle Conditions With Supplier,,2011-01-04 04:02:00-05:00,2011-01-04 08:01:00-05:00,Francois de Perrier
13,Create Purchase Order,,2011-01-04 10:11:00-05:00,2011-01-04 10:23:00-05:00,Karel de Groot
13,Confirm Purchase Order,,2011-01-05 02:30:00-05:00,2011-01-05 02:37:00-05:00,Carmen Finacse
13,Deliver Goods Services,,2011-01-05 13:37:00-05:00,2011-01-07 05:21:00-05:00,Sean Manney
13,Release Purchase Order,,2011-01-07 13:09:00-05:00,2011-01-07 13:10:00-05:00,Christian Francois
13,Settle Dispute With Supplier,,2011-01-07 21:34:00-05:00,2011-01-08 06:37:00-05:00,Francois de Perrier
13,Release Purchase Order,,2011-01-08 14:22:00-05:00,2011-01-08 14:23:00-05:00,Immanuel Karagianni
13,Approve Purchase Order for payment,,2011-01-09 02:01:00-05:00,2011-01-09 02:02:00-05:00,Francois de Perrier
13,Send Invoice,,2011-01-09 15:46:00-05:00,2011-01-09 15:46:00-05:00,Sean Manney
